ID del Vendedor;Promedio de Ventas
1332567917;5,20
1001628082;6,40
1661355267;5,80
1577956357;7,00
1827780346;5,00
1260004117;4,20
1787673245;5,20
1464015185;6,20
1568273771;7,60
1424350961;6,80
1595313933;4,00
1618165870;5,60
1899458346;6,40
1470501253;6,00
1554936966;6,60
1128407915;6,80
1688800899;7,20
1813538344;3,80
1875024371;5,80
1705562513;5,40
1797468954;3,40
1347553811;6,20
1851788833;4,00
1777425845;5,20
1578669149;6,20
1624537235;3,40
1829513031;5,00
1241573452;6,20
1057299272;2,80
1822841579;6,00
1078923265;5,80
1046837802;8,60
1245997579;6,20
1020867720;8,00
1821194448;5,00
1022451375;6,40
1433805077;7,00
1085038282;5,80
1687321850;6,20
1394659145;4,80
1076548672;4,20
1752644637;5,60
1303967699;4,40
1028056875;5,80
1238955957;4,40
1717362220;4,40
1758332094;4,80
1359800698;5,40
1685182991;4,60
1538338105;6,80
1648260276;6,20
1203469616;7,40
1890359847;4,60
1798756283;5,80
1863463839;4,20
1816552648;5,60
1365320689;2,60
1815230118;5,40
1580765357;6,60
1403021110;3,40
1770562846;4,40
1541088076;5,60
1343262856;3,80
1755576377;7,20
1493818770;6,40
1531216351;5,20
1240772968;5,60
1614390949;4,20
1295162797;5,00
1238340975;5,00
1800902646;6,20
1620655166;6,20
1479104641;4,80
1433258951;3,20
1097715648;2,80
1589679729;3,80
1622825992;6,40
1871909158;4,80
1700168160;5,40
1242414778;3,00
1599775201;5,60
1226122708;4,80
1278420214;6,20
1352056926;4,20
1034526564;4,60
1187819009;7,00
1396765070;3,80
1217550941;8,60
1685687990;5,60
1332596156;4,60
1718189752;4,00
1648950430;8,20
1526422053;7,20
1216374881;4,60
1705134401;5,40
1386243652;5,60
1620185719;3,20
1615399586;6,40
1188922928;6,20
1211386567;4,40
1396858295;7,00
1212996282;5,80
1048834169;7,00
1171730728;7,20
1832685628;4,40
1492196344;7,60
1293692424;6,80
1861720544;4,40
1109649208;4,40
1087827402;5,20
1017062785;5,80
1866409495;8,00
1340046582;4,20
1341419229;6,00
1195894388;6,60
1892615675;5,40
1668938319;4,60
1358412237;4,40
1481809773;5,00
1038379682;7,60
1319269348;5,80
1378362734;5,00
1251289042;4,40
1204908699;2,60
1758798721;3,00
1492865965;4,80
1325449816;3,80
1592565685;7,40
1707043045;4,60
1110941546;7,40
1712764235;5,20
1633114678;6,40
1363945518;5,40
1408254100;4,60
1197632007;4,00
1127864913;3,40
1668804638;6,80
1472288938;7,00
1199750382;3,00
1587783119;6,80
1559764361;6,40
1679594350;7,00
1191510129;7,00
1350236940;4,80
1477657963;3,60
1838185192;4,20
1268331235;6,00
1641392814;7,20
1411742555;6,00
1449569049;5,60
1735354095;6,00
1376445833;8,60
1558363495;6,80
1703369743;4,00
1017267499;6,00
1635393779;4,20
1789025579;6,20
1033677328;3,60
1119623469;6,20
1655910699;5,80
1418285840;5,20
1492745060;5,40
1237646938;6,40
1492372333;5,20
1734051067;6,20
1081828319;4,00
1737889330;4,20
1289924936;5,60
1329803496;6,80
1804083235;5,00
1761325387;4,80
1258595510;4,20
1654479150;5,40
1728858815;6,20
1326423739;6,40
1552495421;5,60
1085442309;6,80
1862386874;5,40
1554238751;4,20
1457964889;5,60
1611430835;5,20
1484142514;5,20
1551636408;4,80
1089348907;4,00
1663456493;6,40
1754928465;5,80
1287360886;6,20
1372305946;5,80
1412957675;6,40
1587610999;5,00
1747381247;5,20
1415847871;5,40
1515400590;6,60
1762741488;6,20
1003062315;3,00
1094554335;4,20
1309808112;5,60
1329662626;7,20
1538380370;3,00
1602131610;5,60
1463583957;4,00
1445095880;5,20
1572412498;5,80
1884625337;5,40
1853692816;2,60
1006344201;4,20
1285296999;6,20
1266963066;3,80
1137469491;5,40
1593835775;4,80
